Chosen atom: Atom: Y2, Position: [-2.206227  2.54016   1.972179]

((7.23158, -8.44032, 11.30445), 1/2, -0.2748308, 'Y2')
((-2.81912, -3.36, -15.2488), 1/2, -0.2748308, 'Y2')
((-2.81912, 3.36, -15.2488), 1/2, -0.2748308, 'Y2')
((2.81913, -3.36, 15.2488), 1/2, -0.2748308, 'Y2')
((2.81913, 3.36, 15.2488), 1/2, -0.2748308, 'Y2')
((-2.60004, -14.3472, -6.33334), 1/2, -0.2748308, 'Y1')
((-10.21275, -6.72, -10.16587), 1/2, -0.2748308, 'Y2')
((-10.21275, 6.72, -10.16587), 1/2, -0.2748308, 'Y2')
((10.21275, -6.72, 10.16587), 1/2, -0.2748308, 'Y2')
((10.21275, 6.72, 10.16587), 1/2, -0.2748308, 'Y2')
((-0.92454, -7.53312, 13.9984), 1/2, -0.2748308, 'Y1')
((1.14362, 15.07968, -5.08294), 1/2, -0.2748308, 'Y2')
((-1.14362, 15.07968, 5.08293), 1/2, -0.2748308, 'Y2')
((14.6252, 1.63968, 6.22151), 1/2, -0.2748308, 'Y2')
((-3.96275, 11.71968, -10.16587), 1/2, -0.2748308, 'Y2')
((3.96275, 11.71968, 10.16587), 1/2, -0.2748308, 'Y2')
((3.64996, -14.25312, -6.33334), 1/2, -0.2748308, 'Y1')
((-12.88113, 5.90688, 7.47191), 1/2, -0.2748308, 'Y1')
((-6.63113, 12.5328, 7.47191), 1/2, -0.2748308, 'Y1')
((5.32546, 5.8128, 13.9984), 1/2, -0.2748308, 'Y1')
((-13.19392, -1.72032, -9.02729), 1/2, -0.2748308, 'Y2')
((-5.8003, -5.08032, -14.11023), 1/2, -0.2748308, 'Y2')
((11.04358, 2.54688, -11.41627), 1/2, -0.2748308, 'Y1')
((0.7625, 15.8928, 2.38898), 1/2, -0.2748308, 'Y1')
((-0.38113, -14.25312, 7.47191), 1/2, -0.2748308, 'Y1')
((12.11887, -7.53312, 7.47191), 1/2, -0.2748308, 'Y1')
((12.71908, -4.2672, 8.91547), 1/2, -0.2748308, 'Y1')
((2.50633, 15.8928, -1.2504), 1/2, -0.2748308, 'Y1')
((-11.51842, 0.0, 11.30445), 1/2, -0.2748308, 'Y2')
((4.41245, 15.07968, -3.94436), 1/2, -0.2748308, 'Y2')
((13.86271, -7.53312, 3.83253), 1/2, -0.2748308, 'Y1')
((-11.7375, -10.9872, 2.38898), 1/2, -0.2748308, 'Y1')
((9.29975, -10.89312, -7.77689), 1/2, -0.2748308, 'Y1')
((13.2625, 9.1728, 2.38898), 1/2, -0.2748308, 'Y1')
((4.72525, 9.26688, 12.55485), 1/2, -0.2748308, 'Y1')
((-15.48117, 4.99968, 1.13858), 1/2, -0.2748308, 'Y2')
((-9.23117, -13.44, 1.13858), 1/2, -0.2748308, 'Y2')
((-9.23117, 13.44, 1.13858), 1/2, -0.2748308, 'Y2')
((-6.25, -15.16032, 0.0), 1/2, -0.2748308, 'Y2')
((6.25, -15.16032, 0.0), 1/2, -0.2748308, 'Y2')
((-15.10004, -0.9072, -6.33334), 1/2, -0.2748308, 'Y1')
((-8.30663, 5.90688, -12.85982), 1/2, -0.2748308, 'Y1')
((11.04358, -4.17312, -11.41627), 1/2, -0.2748308, 'Y1')
((6.6997, -5.08032, -14.11023), 1/2, -0.2748308, 'Y2')
((3.43087, -5.08032, -15.2488), 1/2, -0.2748308, 'Y2')
((-3.43087, -5.08032, 15.2488), 1/2, -0.2748308, 'Y2')
((-9.45025, -10.9872, -7.77689), 1/2, -0.2748308, 'Y1')
((2.1252, 15.07968, 6.22151), 1/2, -0.2748308, 'Y2')
((-3.74367, 15.98688, -1.2504), 1/2, -0.2748308, 'Y1')
((-0.16204, 1.63968, 16.38738), 1/2, -0.2748308, 'Y2')
((14.40612, -7.53312, -2.69396), 1/2, -0.2748308, 'Y1')
((-16.24367, 2.54688, -1.2504), 1/2, -0.2748308, 'Y1')
((-0.31279, -0.9072, -16.49921), 1/2, -0.2748308, 'Y1')
((-7.70642, 9.1728, -11.41627), 1/2, -0.2748308, 'Y1')
((4.79358, -10.9872, -11.41627), 1/2, -0.2748308, 'Y1')
((10.44337, -0.9072, -12.85982), 1/2, -0.2748308, 'Y1')
((-8.85004, 12.62688, -6.33334), 1/2, -0.2748308, 'Y1')
((14.6252, -5.08032, 6.22151), 1/2, -0.2748308, 'Y2')
((7.61271, -14.3472, 3.83253), 1/2, -0.2748308, 'Y1')
((-12.88113, -7.53312, 7.47191), 1/2, -0.2748308, 'Y1')
((-10.59388, 12.62688, -2.69396), 1/2, -0.2748308, 'Y1')
((8.15612, -14.3472, -2.69396), 1/2, -0.2748308, 'Y1')
((-13.19392, 4.99968, -9.02729), 1/2, -0.2748308, 'Y2')
